year_bin_start,probability_density
2220,0.0012111111111111112
2230,0.0011666666666666668
2240,0.0012777777777777779
2250,0.0012333333333333332
2260,0.0012555555555555555
2270,0.0010333333333333334
2280,0.0012111111111111112
2290,0.0012777777777777779
2300,0.0012333333333333332
2310,0.001288888888888889
2320,0.0012111111111111112
2330,0.001388888888888889
2340,0.001
2350,0.0012111111111111112
2360,0.0010555555555555555
2370,0.0012777777777777779
2380,0.0010333333333333334
2390,0.001388888888888889
2400,0.0012222222222222222
2410,0.0011555555555555555
2420,0.0011888888888888889
2430,0.0010222222222222223
2440,0.0011111111111111111
2450,0.0011888888888888889
2460,0.0012555555555555555
2470,0.0012
2480,0.0012666666666666666
2490,0.0011777777777777778
2500,0.0012666666666666666
2510,0.0012444444444444445
2520,0.0013111111111111112
2530,0.0012222222222222222
2540,0.0013
2550,0.001488888888888889
2560,0.0013555555555555556
2570,0.001411111111111111
2580,0.0013444444444444445
2590,0.001411111111111111
2600,0.0013222222222222222
2610,0.0014666666666666667
2620,0.0015
2630,0.0013666666666666666
2640,0.0014222222222222223
2650,0.0013555555555555556
2660,0.0014555555555555556
2670,0.0015333333333333334
2680,0.001411111111111111
2690,0.0012666666666666666
2700,0.0013
2710,0.0013555555555555556
2720,0.0014444444444444444
2730,0.0012555555555555555
2740,0.0015666666666666667
2750,0.0013666666666666666
2760,0.0013
2770,0.0013777777777777777
2780,0.0012777777777777779
2790,0.0012444444444444445
2800,0.0013222222222222222
2810,0.0014333333333333333
2820,0.0016555555555555555
2830,0.001488888888888889
2840,0.0013222222222222222
2850,0.0013444444444444445
2860,0.0012777777777777779
2870,0.0011555555555555555
2880,0.001511111111111111
2890,0.0014222222222222223
2900,0.0014444444444444444
2910,0.0014777777777777777
2920,0.0016
2930,0.0013333333333333333
2940,0.0013777777777777777
2950,0.001288888888888889
2960,0.0012555555555555555
2970,0.0012222222222222222
2980,0.0014333333333333333
2990,0.0013333333333333333
3000,0.0015888888888888888
3010,0.0012444444444444445
3020,0.0014
3030,0.0015333333333333334
3040,0.001511111111111111
3050,0.0012444444444444445
3060,0.0014666666666666667
3070,0.0012222222222222222
3080,0.001511111111111111
3090,0.001488888888888889
3100,0.0011555555555555555
3110,0.0011111111111111111
3120,0.0012111111111111112
3130,0.0014444444444444444
3140,0.001511111111111111
3150,0.0015
3160,0.0012777777777777779
3170,0.0014555555555555556
3180,0.001288888888888889
3190,0.0013777777777777777
3200,0.0012222222222222222
3210,0.0014222222222222223
3220,0.001411111111111111
3230,0.0013222222222222222
3240,0.0014444444444444444
3250,0.0014333333333333333
3260,0.0013444444444444445
3270,0.0015333333333333334
3280,0.0014333333333333333
