year,probability_at_least_one_signal,expected_detectable_sources,window_limited_probability,window_limited_expected_sources,synchronization_loss_fraction,probability_p05,probability_p95
10600,0.04752764607334092,0.048692709124849826,1.5740960463528353e-05,1.5741084197204863e-05,0.9996688041221474,0.047511390721216976,0.04752764607334092
10700,0.04752886502992293,0.04869398882934091,1.3459791200820526e-05,1.3459881672967168e-05,0.9997168080661647,0.04751260926232613,0.04752886502992308
10800,0.04752990004502222,0.04869507542672927,1.1490181279105727e-05,1.1490247212019839e-05,0.9997582536199693,0.04751364392457896,0.04752990004502222
10900,0.047530777487759246,0.048695996599712396,9.792757908133609e-06,9.792805799938e-06,0.99979397017205,0.04751452106812505,0.047530777487759246
11000,0.04753152018744555,0.04869677631494662,8.332608215533277e-06,8.332642886686222e-06,0.9998246929998731,0.04751526351451309,0.04753152018744555
11100,0.047532147868295294,0.04869743527937018,7.078855528752648e-06,7.078880554775861e-06,0.9998510722564364,0.047515890981248504,0.047532147868295294
11200,0.04753267753737245,0.04869799134746102,6.004263228054363e-06,6.004281229816604e-06,0.9998736813590328,0.047516420469606316,0.04753267753737245
11300,0.04753312382978636,0.04869845988358661,5.084866310234304e-06,5.084879224617198e-06,0.9998930247814463,0.04751686660971922,0.04753312382978636
11400,0.04753349931485429,0.04869885408342284,4.299630730675297e-06,4.299639964760038e-06,0.9999095452513985,0.047517241966627516,0.04753349931485429
11500,0.0475338147669202,0.0486991852582361,3.630139796984011e-06,3.6301463779364235e-06,0.9999236303710362,0.04751755731100643,0.0475338147669202
11600,0.0475340794041621,0.04869946308560122,3.0603069569590247e-06,3.0603116345794915e-06,0.9999356186762146,0.047517821857884154,0.0475340794041621
11700,0.04753430109864554,0.04869969582990241,2.5761138805480144e-06,2.576117196593797e-06,0.9999458051592007,0.04751804347665499,0.04753430109864554
11800,0.04753448656054249,0.048699890535736416,2.165372616103056e-06,2.165374957172327e-06,0.9999544462815783,0.04751822887520726,0.04753448656054249
11900,0.04753464149929698,0.04870005319709574,1.8175104832263145e-06,1.8175121309631117e-06,0.9999617645063494,0.047518383761024956,0.04753464149929698
12000,0.04753477076422441,0.048700188904987916,1.523376316203695e-06,1.5233774734519935e-06,0.999967952379033,0.04751851298178099,0.04753477076422441
12100,0.04753487846689064,0.04870030197590805,1.2750665548955098e-06,1.2750673650504728e-06,0.9999731761898627,0.047518620647644096,0.04753487846689064
12200,0.047534968087374785,0.0487003960633785,1.0657697147031797e-06,1.0657702830579478e-06,0.999977579248339,0.04751871023749353,0.047534968087374785
12300,0.0475350425662624,0.04870047425455092,8.896278014258741e-07,8.896281979604517e-07,0.9999812848005725,0.047518784690915396,0.0475350425662624
12400,0.04753510438416497,0.048700539153673304,7.416131916349045e-07,7.416134644548914e-07,0.9999843986207405,0.04751884648767876,0.04753510438416497
12500,0.04753515563024213,0.04870059295404478,6.174196371944163e-07,6.174198277206837e-07,0.9999870113050224,0.047518897716237414,0.047535155630242285
12600,0.04753519806118889,0.048700637499904206,5.133660948564156e-07,5.133662278605608e-07,0.9999892002954486,0.047518940132666734,0.04753519806118889
12700,0.047535233151783096,0.04870067433954288,4.263120653158481e-07,4.263121566955408e-07,0.9999910316614214,0.04751897521126007,0.047535233151783096
12800,0.04753526213823611,0.04870070477078962,3.535833386081322e-07,3.5358339825312977e-07,0.9999925616621703,0.047519004187795866,0.04753526213823611
12900,0.047535286055215176,0.048700729879879036,2.9290702152628967e-07,2.929070648958768e-07,0.9999938381138342,0.04751902809658834,0.047535286055215176
13000,0.047535305767407054,0.04870075057459961,2.4235490381219194e-07,2.423549229711997e-07,0.999994901581048,0.04751904780203244,0.047535305767407054
13100,0.047535321996393654,0.048700767612502735,2.0029408587252107e-07,2.0029408347024169e-07,0.9999957864157123,0.047519064025466504,0.047535321996393654
13200,0.04753533534348675,0.048700781624864915,1.653442133209282e-07,1.6534421310570652e-07,0.9999965216567397,0.04751907736798878,0.04753533534348675
13300,0.04753534630905576,0.048700793137000514,1.3634050077815374e-07,1.363404983978188e-07,0.9999971318079837,0.04751908832980528,0.04753534630905576
13400,0.04753535530891628,0.04870080258544962,1.1230166863107627e-07,1.1230166900127443e-07,0.9999976375127965,0.04751909732658231,0.04753535530891628
13500,0.04753536268815117,0.048700810332493925,9.240245624209109e-08,9.240245609129802e-08,0.9999980561322978,0.047519104703291265,0.04753536268815117
13600,0.04753536873276498,0.04870081667839396,7.594992579296189e-08,7.594992672957647e-08,0.9999984022438909,0.047519110745835653,0.04753536873276498
13700,0.04753537367949523,0.04870082187168906,6.236319494146159e-08,6.236319559094007e-08,0.9999986880676407,0.04751911569087108,0.04753537367949523
13800,0.047535377724060024,0.04870082611784737,5.1156071712021856e-08,5.115607115125326e-08,0.9999989238315932,0.047519119734048355,0.047535377724060024
13900,0.04753538102804966,0.048700829586523116,4.192224400956235e-08,4.1922244437588855e-08,0.9999991180833496,0.04751912303690545,0.04753538102804966
14000,0.047535383724741864,0.04870083241763139,3.432267448033599e-08,3.4322674864197e-08,0.9999992779552453,0.04751912573267793,0.047535383724741864
14100,0.04753538592392248,0.04870083472642653,2.807486998435138e-08,2.8074869656797873e-08,0.9999994093900904,0.047519127931102086,0.04753538592392248
14200,0.04753538771591814,0.04870083660774097,2.2943789979024132e-08,2.2943791164126788e-08,0.9999995173324321,0.047519129722483726,0.04753538771591814
14300,0.0475353891749658,0.0487008381395174,1.873416111131121e-08,1.8734160190219806e-08,0.9999996058902338,0.04751913118103311,0.0475353891749658
14400,0.04753539036203125,0.04870083938574771,1.5283952214950602e-08,1.5283953645065066e-08,0.9999996784721426,0.047519132367689246,0.04753539036203125
14500,0.0475353913270965,0.04870084039891444,1.245891889656292e-08,1.2458921583853832e-08,0.9999997379022545,0.04751913333242118,0.0475353913270965
14600,0.04753539211111768,0.048700841222017774,1.014797224030417e-08,1.0147972353726301e-08,0.9999997865175443,0.0475191341161784,0.04753539211111768
14700,0.04753539274763108,0.048700841890252276,8.259294803636408e-09,8.259295395780919e-09,0.9999998262495726,0.047519134752465796,0.04753539274763108
14800,0.04753539326403511,0.04870084243239818,6.7171115336606135e-09,6.717109519272783e-09,0.9999998586924169,0.04751913526869688,0.04753539326403511
14900,0.04753539368273396,0.04870084287196621,5.4589404108185136e-09,5.4589404095186505e-09,0.9999998851605091,0.0475191356872526,0.04753539368273396
15000,0.0475353940220008,0.048700843228146634,4.433345357490737e-09,4.433345049270033e-09,0.9999999067359081,0.047519136026404805,0.0475353940220008
15100,0.04753539429675102,0.0487008435165883,3.5980124435397443e-09,3.5980127773617e-09,0.9999999243087704,0.047519136301057446,0.04753539429675102
15200,0.0475353945191227,0.048700843750042085,2.918181585265245e-09,2.918183167409035e-09,0.9999999386103425,0.047519136523352865,0.0475353945191227
15300,0.04753539469900159,0.04870084393888888,2.365329154763174e-09,2.365329901007571e-09,0.999999950240675,0.04751913670317307,0.04753539469900159
15400,0.04753539484443603,0.048700844091573,1.9160693032205245e-09,1.916067564750231e-09,0.9999999596917347,0.04751913684855802,0.04753539484443603
15500,0.047535394961963684,0.04870084421495857,1.5512424678121306e-09,1.551244940061515e-09,0.9999999673665808,0.04751913696604521,0.047535394961963684
15600,0.0475353950568943,0.04870084431462104,1.2551935046900553e-09,1.2551940476243401e-09,0.9999999735945498,0.04751913706094099,0.0475353950568943
15700,0.047535395133538216,0.04870084439508561,1.0151087748155874e-09,1.0151090503728923e-09,0.9999999786452017,0.047519137137557545,0.047535395133538216
15800,0.04753539519539396,0.048700844460023124,8.205347512557637e-10,8.205332547087058e-10,0.9999999827384468,0.04751913719939451,0.04753539519539396
15900,0.04753539524529071,0.04870084451240863,6.629343740627291e-10,6.629359469497617e-10,0.999999986053879,0.047519137249276124,0.04753539524529071
16000,0.04753539528552897,0.048700844554652685,5.353629761728484e-10,5.353637856374497e-10,0.9999999887375929,0.047519137289497804,0.04753539528552897
16100,0.04753539531796569,0.048700844588706535,4.3215298006771263e-10,4.321539581201126e-10,0.999999990908817,0.04751913732192456,0.04753539531796569
16200,0.04753539534410556,0.048700844616148584,3.486996247303864e-10,3.486984538296328e-10,0.9999999926644215,0.047519137348056156,0.04753539534410556
16300,0.04753539536516216,0.0487008446382562,2.812489130477047e-10,2.812505583546054e-10,0.9999999940833791,0.04751913736910481,0.04753539536516216
